Date,Close_BTC-USD,Close_ETH-USD,Close_LTC-USD,High_BTC-USD,High_ETH-USD,High_LTC-USD,Low_BTC-USD,Low_ETH-USD,Low_LTC-USD,Open_BTC-USD,Open_ETH-USD,Open_LTC-USD,Volume_BTC-USD,Volume_ETH-USD,Volume_LTC-USD
2014-09-17,457.3340148925781,,5.058549880981445,468.1740112304688,,5.170770168304443,452.4219970703125,,4.965950012207031,465.864013671875,,5.08588981628418,21056800,,3071840
2014-09-18,424.4400024414063,,4.685229778289795,456.8599853515625,,5.065430164337158,413.10400390625,,4.579959869384766,456.8599853515625,,5.065430164337158,34483200,,4569260
2014-09-19,394.7959899902344,,4.327770233154297,427.8349914550781,,4.755819797515869,384.5320129394531,,4.254350185394287,424.1029968261719,,4.687290191650391,37919700,,3917450
2014-09-20,408.9039916992188,,4.286439895629883,423.2959899902344,,4.616079807281494,389.8829956054688,,4.202189922332764,394.6730041503906,,4.32919979095459,36863600,,5490660
2014-09-21,398.8210144042969,,4.245920181274414,412.4259948730469,,4.300129890441895,393.1809997558594,,4.154990196228027,408.0849914550781,,4.263070106506348,26580100,,2931220
2014-09-22,402.1520080566406,,4.242350101470947,406.9159851074219,,4.416880130767822,397.1300048828125,,4.210130214691162,399.1000061035156,,4.245930194854736,24127600,,1855960
2014-09-23,435.7909851074219,,4.746570110321045,441.5570068359375,,4.881350040435791,396.1969909667969,,4.188869953155518,402.0920104980469,,4.239990234375,45099500,,4661670
2014-09-24,423.2049865722656,,4.666790008544922,436.1119995117188,,4.745120048522949,421.1319885253906,,4.627689838409424,435.7510070800781,,4.744200229644775,30627700,,2662290
2014-09-25,411.5740051269531,,4.514649868011475,423.5199890136719,,4.671319961547852,409.4679870605469,,4.448699951171875,423.156005859375,,4.66588020324707,26814400,,2046960
2014-09-26,404.4249877929688,,4.433589935302734,414.93798828125,,4.551819801330566,400.0090026855469,,4.388800144195557,411.4289855957031,,4.50993013381958,21460800,,1548350
2014-09-27,399.5199890136719,,4.421800136566162,406.62298583984375,,4.4892401695251465,397.37200927734375,,4.3979902267456055,403.5559997558594,,4.434390068054199,15029300,,889525
2014-09-28,377.1809997558594,,4.233230113983154,401.0169982910156,,4.457610130310059,374.3320007324219,,4.202779769897461,399.4710083007813,,4.424620151519775,23613300,,1741170
2014-09-29,375.4670104980469,,4.246789932250977,385.21099853515625,,4.330249786376953,372.239990234375,,4.198100090026856,376.9280090332031,,4.237629890441895,32497700,,1712650
2014-09-30,386.9440002441406,,4.474730014801025,390.97698974609375,,4.549009799957275,373.4429931640625,,4.225930213928223,376.0880126953125,,4.252190113067627,34707300,,2456420
2014-10-01,383.614990234375,,4.42855978012085,391.3789978027344,,4.503739833831787,380.7799987792969,,4.384860038757324,387.427001953125,,4.470960140228272,26229400,,1172180
2014-10-02,375.0719909667969,,4.322659969329834,385.49700927734375,,4.463479995727539,372.9460144042969,,4.286230087280273,383.9880065917969,,4.430150032043457,21777700,,1124950
2014-10-03,359.5119934082031,,4.175119876861572,377.6950073242188,,4.340310096740723,357.8590087890625,,4.1640400886535645,375.1809997558594,,4.31935977935791,30901200,,1471270
2014-10-04,328.8659973144531,,3.938199996948242,364.4869995117188,,4.284039974212647,325.885986328125,,3.888010025024414,359.8919982910156,,4.173130035400391,47236500,,6948810
2014-10-05,320.510009765625,,3.699140071868897,341.8009948730469,,4.04341983795166,289.2959899902344,,3.480600118637085,328.9159851074219,,3.9420700073242183,83308096,,8143680
2014-10-06,330.0790100097656,,3.8223700523376474,345.1340026855469,,3.914860010147095,302.5599975585937,,3.5722498893737797,320.3890075683594,,3.703049898147583,79011800,,9482680
2014-10-07,336.18701171875,,3.858629941940308,339.2470092773437,,3.949860095977783,320.48199462890625,,3.688210010528565,330.5840148925781,,3.813329935073853,49199900,,7096400
2014-10-08,352.94000244140625,,3.90789008140564,354.364013671875,,3.929889917373657,327.18798828125,,3.7478299140930176,336.1159973144531,,3.855469942092896,54736300,,5850860
2014-10-09,365.0260009765625,,3.9006600379943848,382.72601318359375,,4.028759956359863,347.68701171875,,3.86528992652893,352.7479858398437,,3.9086201190948486,83641104,,8316140
2014-10-10,361.56201171875,,3.807389974594116,375.0669860839844,,3.9158899784088135,352.9630126953125,,3.774250030517578,364.68701171875,,3.898859977722168,43665700,,6313690
2014-10-11,362.2990112304688,,3.77266001701355,367.1910095214844,,3.8389699459075928,355.95098876953125,,3.67792010307312,361.3619995117188,,3.795919895172119,13345200,,3498570
2014-10-12,378.5490112304688,,3.850330114364624,379.4330139160156,,3.8514699935913086,356.1440124511719,,3.696039915084839,362.6059875488281,,3.7765800952911377,17552800,,2712090
2014-10-13,390.41400146484375,,3.8617799282073975,397.22601318359375,,3.895740032196045,368.8970031738281,,3.791179895401001,377.9209899902344,,3.846440076828003,35221400,,4200710
2014-10-14,400.8699951171875,,4.0759100914001465,411.697998046875,,4.229109764099121,391.3240051269531,,3.864520072937012,391.6919860839844,,3.864520072937012,38491500,,8247860
2014-10-15,394.7730102539063,,4.056419849395752,402.22698974609375,,4.076990127563477,388.7659912109375,,3.9927499294281006,400.9549865722656,,4.076990127563477,25267100,,4837180
2014-10-16,382.5559997558594,,3.990890026092529,398.8070068359375,,4.096799850463867,373.0700073242188,,3.9587600231170654,394.51800537109375,,4.057740211486816,26990000,,4204880
2014-10-17,383.7579956054688,,3.993269920349121,385.4779968261719,,4.0160298347473145,375.3890075683594,,3.953910112380981,382.7560119628906,,3.9914400577545166,13600700,,3561280
2014-10-18,391.4419860839844,,4.055759906768799,395.1579895019531,,4.0877299308776855,378.9710083007813,,3.954710006713867,383.97601318359375,,3.991630077362061,11416800,,2386140
2014-10-19,389.5459899902344,,3.9889400005340576,393.9389953613281,,4.061460018157959,386.4570007324219,,3.974440097808838,391.2539978027344,,4.056429862976074,5914570,,1576340
2014-10-20,382.8450012207031,,3.909830093383789,390.0840148925781,,3.983570098876953,378.25201416015625,,3.8774800300598153,389.2309875488281,,3.983570098876953,16419000,,2252890
2014-10-21,386.4750061035156,,3.940010070800781,392.64599609375,,3.969939947128296,380.8340148925781,,3.900360107421875,382.4209899902344,,3.911799907684326,14188900,,1948840
2014-10-22,383.1579895019531,,3.843319892883301,388.5759887695313,,3.959959983825684,382.2489929199219,,3.838579893112183,386.1180114746094,,3.9409499168396,11641300,,2094200
2014-10-23,358.4169921875,,3.739650011062622,385.0480041503906,,3.8660600185394287,356.4469909667969,,3.726569890975952,382.9620056152344,,3.8469700813293457,26456900,,3191780
2014-10-24,358.3450012207031,,3.747529983520508,364.3450012207031,,3.7798099517822266,353.30499267578125,,3.724499940872192,358.59100341796875,,3.739490032196045,15585700,,3557710
